ITB File Name,"Clause or
Drawing No.",Page#,Item,Requirement,상세 내용
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 13,CCTV Surveillance System,"2.11 Warranty for all Instrumentation items, Analysers/ GC, System oriented items like DCS/ PLC system, CCTV System, MMS System, Anti-surge / Performance Control System, Speed Governor Control, Overspeed Protection System, Package PLC etc.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 13,CCTV Surveillance System,"2.12 CPWAMC: Comprehensive post warranty annual maintenance contract (to be quoted separately) for Contractor supplied DCS/ PLC System, Bagging/ weighing control system, Analysers ((except density, moisture, PH/conductivity), Gas Chromatograph, CCTV System, MMS and Package PLC System, Giant Screen. CPWAMC to be executed after expiry of warranty and shall be for 5 years duration for each item.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 13,CCTV Surveillance System,"2.13 Training for Owner’s personnel: Contractor shall arrange Operation and Maintenance training for Owner’s personnel for Contractor supplied system oriented items like DCS/ PLC System, Analysers/ Gas chromatographs, CCTV system, MMS, Anti-surge / Performance Control System, Speed Governor Control, Overspeed Protection System, Package PLC, Bagging/Weighing Control System. The training shall include detail operation, configuration, modification, calibration,",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 15,CCTV Surveillance System,"5. Contractor shall carry out 3-D modelling, clash checking with other disciplines, including the following: - All line mounted/ equipment mounted instruments like control valves, on-off valves, safety valves, flow instruments, level instruments, temperature instruments, pressure instruments and accessories like fire-safe jacketing (if applicable), volume tanks etc. - Instrument cable ducts with fittings like elbows, tees, reducers etc. & cable trays (of size ≥ 300mm) - Analyzer/GC shelters (if applicable), analyzer cabinets/ racks and other field racks/ panels/ cabinets, local control panels, etc - All types of junction boxes - Gas detectors with Hooters, Beacons - CCTV system field components - Instrument stanchions - Instrumentation ducts connectivity between main pipe rack & all technical structures, heaters, compressors, major package skids, etc. - ESD Push button stations in field - For package units, where engineering is carried out by package vendor/ other agencies/ compressor package vendor- model free issued to contractor, modelling shall be carried out by contractor as a box with hook-up/ tie-in locations. Inside the box, it is the contractor’s responsibility to ensure that package vendor carries out the precise modelling. However during 90% model review contractor shall be responsible to superimpose the 3D model furnished by Package Vendors & resolve any clashes with the main unit 3D model, as applicable.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 15,CCTV Surveillance System,"8. All field related support activities involved during pre-commissioning and commissioning including instrument re-calibration, valve stroke checking during logic checks, graphics check, complex loop checks, control loop schematics check etc. shall be in the scope of contractor. Arranging OEM visit to site during pre-commissioning and commissioning of Contractor supplied special instruments, valves, Nucleonic level instruments, systems oriented items like Analysers, Gas Chromatograph, DCS,PLC, MMS, CCTV system etc shall be provided by the contractor. Calibration of all Field Instruments, Control Valves, On/Off Valves, Safety Valves at site and checking during pre-commissioning and commissioning shall be in contractor’s scope. Contractor shall ensure that all instruments shall have valid calibration date before pre- commissioning and commissioning. Page 348 of 7525 : B773-000-83-41-LE-T-9902 : Rev. B",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-50-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 6,Telephone Intercom System,"41. Main incoming telephone system junction box (TJB), Safe area telephone sets, telephone system cables from TJB onwards to safe area equipments within package battery limit. 3 3 3 3",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-50-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 6,Telephone Intercom System,"42. Power supply Feeders, cables, lighting fixtures etc. for beacon lamps, acoustic hoods, within package battery limit for plant communication and telephone system. 3 3 3 3",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-50-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 8,Telephone Intercom System,"52. All cable trays, cable ducts, supports, RCC cable trenches, conduits, within the package battery limit for all cables being supplied by contractor and all cables being supplied/ installed by owner for power, control, fire alarm, communication, telephone, ECS data highway and other systems. 3 3 3 3",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-50-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 9,Telephone Intercom System,"60. Preparation of equipment layouts, lighting layouts, cabling layouts, earthing layouts, lightning protection layout, NIFPS piping layout, plant communication layouts, fire alarm layouts, telephone layouts, LAN system layout, etc. 3 - - -",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-50-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 9,Telephone Intercom System,"61. Preparation of bill of materials for cabling, lighting, earthing and lightning protection, communication, plant communication, fire alarm, telephone system, LAN and miscellaneous items 3 - - -",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-17-42-SOW-2501, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 4,Telephone Intercom System,"In case project activities are found to be delayed during the review, LEPC CONTRACTOR shall deploy additional resources over & above the existing group. In case performance of any personnel deployed by LEPC CONTRACTOR under this project is found to be unsatisfactory by the Owner/ Consultant, the same shall be communicated to the CONTRACTOR for providing suitable replacement by CONTRACTOR within 07 (seven) days of communication by Owner / Consultant. e) During BDEP preparation, detailed Engineering, LEPC CONTRACTOR shall facilitate access for OWNER/PMC’s designated personnel at Licensor /Engineering subcontractor/LEPC contractor offices as required. LEPC CONTRACTOR shall provide office & related office infrastructure facilities such as furniture, computer, courier service, telephone, email, Internet connectivity and Canteen facility for OWNER/PMC’s team during the aforesaid period. f) LEPC CONTRACTOR shall provide full assistance to OWNER and CONSULTANT’s personnel at all places during the course of the WORKS for the following: I. To enter into and go out from the countries. II. To stay in the countries for the required period. g) LEPC CONTRACTOR shall provide BDEP in accordance with requirements given in this bidding document. h) LEPC contractor will submit the consolidated effluent summary for effluents from all sources / facilities covered under LEPC contractor’s scope and provide treatment scheme. i) LEPC contractor shall provide overall water balance and provide the scheme for implementing Zero Liquid discharge philosophy. Approval on these documents are required to be obtained before submission of technical documents (design basis, technical specification, PFD P&ID etc.) related to individual water and waste water treatment plant. j) LEPC contractor to ensure that any updation in water consumption / effluent generation are reflected in the updation of related documents and shall not have any bearing on design / turn down performance. All the units BEDP shall be revised by LEPC contractor based upon any such updation. k) LEPC CONTRACTOR shall provide engineering designs in accordance with BIDDING DOCUMENT, current worldwide best practices, the governing codes and in compliance with the Indian statutory regulations in force. l) LEPC CONTRACTOR shall submit all documents as per the agreed schedule. LEPC CONTRACTOR shall include drawings/documents listed elsewhere in BIDDING DOCUMENT as minimum requirements for submission to OWNER/PMC for approval or review or information. LEPC CONTRACTOR shall provide documentation keeping a review time by OWNER/PMC of fifteen (15) business working days to enable them Page 377 of 7525 : B773-000-83-41-LE-T-9902 : Rev. B",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-17-42-SOW-2501, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 8,UPS & DC Power Systems,"Copyright EIL – All rights reserved etc. as required and First Fill consumables. tt) Providing as built drawings /documents/ Vender doc/ Close out reports (Soft and Hard Copy). uu) LEPC contractor to ensure DCI/MCI connectivity with V-doc (Vendor Documentation portal) in each submission. vv) Document preparation & submissions to be done by LEPC contractor only in the specified formats as specified elsewhere in the tender documents. ww) All online analyzers, Gas detectors, portable gas detector etc. located within ISBL are in LEPC contractors Scope. xx) LEPC Contractor shall update the Piping Material Specification (PMS) and Valve Material Specification (VMS) as per Process/Project requirements in-line with piping design basis and additional technical requirement and submit for Owner/PMC review. yy) LEPC Contractor shall update the welding specification charts based on requirements specified in ASME B 31.3, for classes not covered in Welding specification charts and for dissimilar material welding and submit it for review by Owner/ PMC. zz) Submission of in updated process package & final documentation in state of art integrated documentation handover mode as specified elsewhere in tender document. aaa) Any other work required to complete the Process & Utility systems and commission the units as per Process / Utility design requirements given in bid document and any other requirements given elsewhere in the tender document. bbb) Contractor to prepare battery limit interface based on given preliminary B/L interface and shall be submitted for Owner/PMC approval, preliminary B/L Interface details are as defined elsewhere in the bidding document. Page 381 of 7525 : B773-000-83-41-LE-T-9902 : Rev. B",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-43-SOW-9902, Common job specific Valve Material Specification for all the units/offsite covered in tender",Page 26,Telecom Specifications,"5.4.20. VALVE MATERIAL SPECIFICATION Common job specific Valve Material Specification for all the units/offsite covered in tender shall be prepared by LEPC CONTRACTOR and same shall be submitted to OWNER / PMC for approval. Job specific VMS shall cover all Process/ Licensor’s material requirements, any additional requirements from OWNER/ PMC and shall be in line with EIL Valve material Specification B773-6-44-0006 provided with the tender. Any other VMS sheet required (other than detail VMS attached as document no. B773-6- 44-0006 during detail engineering to be developed by LEPC contractor. While developing valve material Specifications and requirements specified in Engineering design basis- Piping shall be followed. The valve material specification shall be developed on the similar format as EIL VMS format for each new type of valve and shall be submitted for review by OWNER / PMC. LEPC CONTRACTOR shall update the VMS as per comments (without any extra time & cost to OWNER) and updated VMS shall be sent to OWNER/PMC for review/ records. Tests carried out on a particular size of one type of valve, pressure rating and material shall qualify all sizes equal to and below the test valve size for the same type, pressure rating and material. In case of austenitic SS, any one grade would qualify for all other grades of austenitic SS.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-80-42-SOW-9902, specification for application of Torques and Hydraulic Bolt tension for flange joints, Document No. 6-76-0002”. LEPC CONTRACTOR shall calculate bolt tension and bolt torque values for the piping classes not covered in this specification and furnish the same",Page 5,Structured Cabling & FOC,"b) Duly filled in equipment data sheets (approved copy) & Performance curves (approved copy), for all cases. c) Duly-filled in experience record formats (approved copy) d) Equipment manufacturer's general reference list & manufacturer's catalogue. e) List of Agreed Deviations (approved copy) f) Scope of supply / work, List of Mandatory spares, List of Commissioning spares, List of 2 years O&M Spares and List of Special tools / tackles g) Site & Utility Data / Specifications h) Applicable EDB, data sheets, job specifications, PMS/VMS, etc. of respective departments i) Utility data sheets j) Applicable Vendor list k) Applicable Painting Specifications, Site Spectra, etc. l) Detailed Vendor Data Requirements (i.e. GA drawing; C/S drawing; Layout drawing, P&ID etc.) of all equipment & components supplied by vendor. m) Applicable Owner/ PMC documents) n) Applicable Standards & Specifications) o) Applicable Inspection Test Plan, etc.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-00-000-19-41, specification for application of Torques and Hydraulic Bolt tension for flange joints, Document No. 6-76-0002”. LEPC CONTRACTOR shall calculate bolt tension and bolt torque values for the piping classes not covered in this specification and furnish the same",Page 9,Telephone Intercom System,"CONSTRUCTION SUPERVISION AND MANAGEMENT BY LEPC FOR 150 TPD GREEN UREA COMPLEX OF Client DOCUMENT No. B773-00-000-19-41- 0002 Rev. 0 Page 9 of 23 Format No. EIL 1641-1924 Rev. 1 Copyright EIL – All rights reserved k. Mobile toilets and necessary arrangement for cleaning and disposal from refinery to outside refinery. l. Field Testing Laboratory m. Radiography Source Pit as per BARC Guidelines n. Film processing and viewing labs o. Communication facilities viz. Telephone, Fax, E-mail, electronic transmission of drawings./ documents, etc. p. Hutments, transport, Pantry and Canteen for staff and workers. Hutments/ labour colony shall not be allowed inside the refinery complex. q. Vehicle parking area including construction equipments. r. First aid arrangement/ medical and health care facilities s. Gate pass for workmen/officials/ vehicles as per OWNER security system. t. Work Permits as per Owner’s prevailing system. CONTRACTOR shall develop the temporary facilities layout for approval of Owner/PMC.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-00-000-19-41, specification for application of Torques and Hydraulic Bolt tension for flange joints, Document No. 6-76-0002”. LEPC CONTRACTOR shall calculate bolt tension and bolt torque values for the piping classes not covered in this specification and furnish the same",Page 19,Telecom Specifications,"CONSTRUCTION SUPERVISION AND MANAGEMENT BY LEPC FOR 150 TPD GREEN UREA COMPLEX OF Client DOCUMENT No. B773-00-000-19-41- 0002 Rev. 0 Page 19 of 23 Format No. EIL 1641-1924 Rev. 1 Copyright EIL – All rights reserved CONTRACTOR shall be completely responsible for management of approved quality plans and Owner/PMC involvement will be only of Surveillance in nature to randomly check the works at selective/critical junctures. Their role shall be to monitor that the CONTRACTOR is executing the quality plans as per the approved drawings, employing adequately qualified staff and other resources for various items of works. Any deviation to the specifications shall be brought to the notice of Owner/PMC in prescribed formats by CONTRACTOR for approval. (ii) It is likely that the CONTRACTOR may engage sub-contractor(s)/vendors for performance of the work. CONTRACTOR shall be responsible for ensuring the implementation of approved QA plan, contract specifications and contract conditions through their sub-contractors to achieve the quality during all stages of construction. It shall be the responsibility of the CONTRACTOR to ensure proper coordination between his sub- contractor(s) and other agencies working at site. The sub-contractor(s)/vendors selection shall be done after evaluation by the CONTRACTOR in line with contract requirements and shall be got approved by Owner/PMC before engaging them for the works. (iii) Storage All the materials procured shall be stored/stacked as per the standard norms and as recommended in various clauses of relevant codes and contract document. The storage of material shall be such as to avoid damage to life/properties (physical and chemical) of the materials. The storage shall not cause deterioration, rusting, mix-up etc. and hamper the other related works in any way. CONTRACTOR shall submit his detailed warehouse plan for Owner/PMC approval to manage the above in open/covered areas. The materials susceptible to fire shall be kept away in a separate protected place. In general, the materials shall be kept systematically in order of their class, batch number and identification number, so that they are accessible for the inspection by Owner/PMC whenever required and to avoid the mix up in those materials. (iv) Use The materials shall be stacked in such a way that the lot, which is procured first, will be consumed first. For materials which are having specific expiry date/ shelf life shall not be used beyond that date and shall be removed from site. Wherever there is any doubt about the change in properties of the materials, such materials shall be sent to reputed approved laboratory for testing and acceptance. (v) Inspection The CONTRACTOR shall be responsible for carrying out inspection of the materials brought at site and conducting tests/ checks (at site or in approved laboratories) at predefined frequencies as per contract. It is the responsibility of the CONTRACTOR to ensure that the materials used at site shall conform to relevant codes/ standards and Manufacturer Test Certificates are available for correlation as and when required. The CONTRACTOR shall maintain the records of all materials brought at site and tests conducted on them. (vi) In process and final Inspection CONTRACTOR shall be responsible to arrange verification of products during in- process and final inspection. Relevant checks and tests shall be arranged for the works performed and records maintained. Tolerances achieved with respect to contract specification and execution drawings for various activities/processes shall be ascertained and submitted to Owner/PMC for approval. Efforts shall be made to keep checks and controls in such a way that a non-conforming product is avoided. However, if in an isolated case, the tolerances are beyond the acceptable values given in the contract/execution drawings/codes, non- Page 460 of 7525 : B773-000-83-41-LE-T-9902 : Rev. B",Verbatim specification requirement extracted dynamically.
